,Fatalities,Confirmed Cases
278,152.0,3144.0
279,165.0,3435.0
280,176.0,3607.0
281,185.0,3780.0
282,192.0,3892.0
283,197.0,4003.0
284,207.0,4127.0
285,214.0,4285.0
286,218.0,4428.0
287,225.0,4532.0
288,237.0,4681.0
289,246.0,4783.0
290,260.0,4887.0
291,264.0,5020.0
292,273.0,5208.0
293,282.0,5371.0
294,293.0,5611.0
295,300.0,5776.0
296,305.0,6034.0
297,314.0,6278.0
298,319.0,6563.0
299,329.0,6879.0
300,353.0,7134.0
301,7.0,663.0
302,7.0,736.0
303,7.0,770.0
304,7.0,822.0
305,8.0,833.0
306,8.0,853.0
307,9.0,881.0
308,10.0,921.0
309,12.0,937.0
310,13.0,967.0
311,13.0,1013.0
312,14.0,1039.0
313,16.0,1067.0
314,17.0,1111.0
315,18.0,1159.0
316,19.0,1201.0
317,20.0,1248.0
318,20.0,1291.0
319,22.0,1339.0
320,24.0,1401.0
321,24.0,1473.0
322,24.0,1523.0
323,27.0,1596.0
324,28.0,1677.0
325,28.0,1746.0
326,29.0,1808.0
327,30.0,1867.0
328,30.0,1932.0
329,32.0,2066.0
330,33.0,2148.0
331,33.0,2273.0
332,35.0,2386.0
333,39.0,2507.0
334,40.0,2619.0
335,40.0,2782.0
336,42.0,2884.0
337,43.0,3029.0
338,44.0,3175.0
339,45.0,3313.0
340,46.0,3392.0
341,47.0,3538.0
342,48.0,3718.0
343,49.0,3860.0
344,7.0,639.0
345,5.0,666.0
346,4.0,694.0
347,4.0,711.0
348,4.0,725.0
349,5.0,737.0
350,5.0,751.0
351,5.0,763.0
352,4.0,777.0
353,7.0,788.0
354,5.0,789.0
355,5.0,794.0
356,5.0,802.0
357,6.0,805.0
358,7.0,808.0
359,7.0,815.0
360,6.0,821.0
361,6.0,826.0
362,6.0,828.0
363,6.0,831.0
364,5.0,832.0
365,5.0,833.0
366,5.0,835.0
367,5.0,837.0
368,6.0,839.0
369,6.0,840.0
370,6.0,843.0
371,6.0,844.0
372,6.0,846.0
373,5.0,847.0
374,5.0,850.0
375,5.0,853.0
376,5.0,856.0
377,5.0,859.0
378,6.0,862.0
379,6.0,864.0
380,5.0,865.0
381,5.0,867.0
382,5.0,868.0
383,6.0,871.0
384,6.0,873.0
385,6.0,874.0
386,7.0,877.0
387,7.0,639.0
388,5.0,666.0
389,4.0,694.0
390,4.0,711.0
391,4.0,725.0
392,5.0,737.0
393,5.0,751.0
394,5.0,763.0
395,4.0,777.0
396,7.0,788.0
397,5.0,789.0
398,5.0,794.0
399,5.0,802.0
400,6.0,805.0
401,7.0,808.0
402,7.0,815.0
403,6.0,821.0
404,6.0,826.0
405,6.0,828.0
406,6.0,831.0
407,5.0,832.0
408,5.0,833.0
409,5.0,835.0
410,5.0,837.0
411,6.0,839.0
412,6.0,840.0
413,6.0,843.0
414,6.0,844.0
415,6.0,846.0
416,5.0,847.0
417,5.0,850.0
418,5.0,853.0
419,5.0,856.0
420,5.0,859.0
421,6.0,862.0
422,6.0,864.0
423,5.0,865.0
424,5.0,867.0
425,5.0,868.0
426,6.0,871.0
427,6.0,873.0
428,6.0,874.0
429,7.0,877.0
430,7.0,639.0
431,5.0,666.0
432,4.0,694.0
433,4.0,711.0
434,4.0,725.0
435,5.0,737.0
436,5.0,751.0
437,5.0,763.0
438,4.0,777.0
439,7.0,788.0
440,5.0,789.0
441,5.0,794.0
442,5.0,802.0
443,6.0,805.0
444,7.0,808.0
445,7.0,815.0
446,6.0,821.0
447,6.0,826.0
448,6.0,828.0
449,6.0,831.0
450,5.0,832.0
451,5.0,833.0
452,5.0,835.0
453,5.0,837.0
454,6.0,839.0
455,6.0,840.0
456,6.0,843.0
457,6.0,844.0
458,6.0,846.0
459,5.0,847.0
460,5.0,850.0
461,5.0,853.0
462,5.0,856.0
463,5.0,859.0
464,6.0,862.0
465,6.0,864.0
466,5.0,865.0
467,5.0,867.0
468,5.0,868.0
469,6.0,871.0
470,6.0,873.0
471,6.0,874.0
472,7.0,877.0
473,7.0,639.0
474,5.0,666.0
475,4.0,694.0
476,4.0,711.0
477,4.0,725.0
478,5.0,737.0
479,5.0,751.0
480,5.0,763.0
481,4.0,777.0
482,7.0,788.0
483,5.0,789.0
484,5.0,794.0
485,5.0,802.0
486,6.0,805.0
487,7.0,808.0
488,7.0,815.0
489,6.0,821.0
490,6.0,826.0
491,6.0,828.0
492,6.0,831.0
493,5.0,832.0
494,5.0,833.0
495,5.0,835.0
496,5.0,837.0
497,6.0,839.0
498,6.0,840.0
499,6.0,843.0
500,6.0,844.0
501,6.0,846.0
502,5.0,847.0
503,5.0,850.0
504,5.0,853.0
505,5.0,856.0
506,5.0,859.0
507,6.0,862.0
508,6.0,864.0
509,5.0,865.0
510,5.0,867.0
511,5.0,868.0
512,6.0,871.0
513,6.0,873.0
514,6.0,874.0
515,7.0,877.0
516,7.0,639.0
517,5.0,666.0
518,4.0,694.0
519,4.0,711.0
520,4.0,725.0
521,5.0,737.0
522,5.0,751.0
523,5.0,763.0
524,4.0,777.0
525,7.0,788.0
526,5.0,789.0
527,5.0,794.0
528,5.0,802.0
529,6.0,805.0
530,7.0,808.0
531,7.0,815.0
532,6.0,821.0
533,6.0,826.0
534,6.0,828.0
535,6.0,831.0
536,5.0,832.0
537,5.0,833.0
538,5.0,835.0
539,5.0,837.0
540,6.0,839.0
541,6.0,840.0
542,6.0,843.0
543,6.0,844.0
544,6.0,846.0
545,5.0,847.0
546,5.0,850.0
547,5.0,853.0
548,5.0,856.0
549,5.0,859.0
550,6.0,862.0
551,6.0,864.0
552,5.0,865.0
553,5.0,867.0
554,5.0,868.0
555,6.0,871.0
556,6.0,873.0
557,6.0,874.0
558,7.0,877.0
559,7.0,639.0
560,5.0,666.0
561,4.0,694.0
562,4.0,711.0
563,4.0,725.0
564,5.0,737.0
565,5.0,751.0
566,5.0,763.0
567,4.0,777.0
568,7.0,788.0
569,5.0,789.0
570,5.0,794.0
571,5.0,802.0
572,6.0,805.0
573,7.0,808.0
574,7.0,815.0
575,6.0,821.0
576,6.0,826.0
577,6.0,828.0
578,6.0,831.0
579,5.0,832.0
580,5.0,833.0
581,5.0,835.0
582,5.0,837.0
583,6.0,839.0
584,6.0,840.0
585,6.0,843.0
586,6.0,844.0
587,6.0,846.0
588,5.0,847.0
589,5.0,850.0
590,5.0,853.0
591,5.0,856.0
592,5.0,859.0
593,6.0,862.0
594,6.0,864.0
595,5.0,865.0
596,5.0,867.0
597,5.0,868.0
598,6.0,871.0
599,6.0,873.0
600,6.0,874.0
601,7.0,877.0
602,7.0,639.0
603,5.0,666.0
604,4.0,694.0
605,4.0,711.0
606,4.0,725.0
607,5.0,737.0
608,5.0,751.0
609,5.0,763.0
610,4.0,777.0
611,7.0,788.0
612,5.0,789.0
613,5.0,794.0
614,5.0,802.0
615,6.0,805.0
616,7.0,808.0
617,7.0,815.0
618,6.0,821.0
619,6.0,826.0
620,6.0,828.0
621,6.0,831.0
622,5.0,832.0
623,5.0,833.0
624,5.0,835.0
625,5.0,837.0
626,6.0,839.0
627,6.0,840.0
628,6.0,843.0
629,6.0,844.0
630,6.0,846.0
631,5.0,847.0
632,5.0,850.0
633,5.0,853.0
634,5.0,856.0
635,5.0,859.0
636,6.0,862.0
637,6.0,864.0
638,5.0,865.0
639,5.0,867.0
640,5.0,868.0
641,6.0,871.0
642,6.0,873.0
643,6.0,874.0
644,7.0,877.0
645,7.0,639.0
646,5.0,666.0
647,4.0,694.0
648,4.0,711.0
649,4.0,725.0
650,5.0,737.0
651,5.0,751.0
652,5.0,763.0
653,4.0,777.0
654,7.0,788.0
655,5.0,789.0
656,5.0,794.0
657,5.0,802.0
658,6.0,805.0
659,7.0,808.0
660,7.0,815.0
661,6.0,821.0
662,6.0,826.0
663,6.0,828.0
664,6.0,831.0
665,5.0,832.0
666,5.0,833.0
667,5.0,835.0
668,5.0,837.0
669,6.0,839.0
670,6.0,840.0
671,6.0,843.0
672,6.0,844.0
673,6.0,846.0
674,5.0,847.0
675,5.0,850.0
676,5.0,853.0
677,5.0,856.0
678,5.0,859.0
679,6.0,862.0
680,6.0,864.0
681,5.0,865.0
682,5.0,867.0
683,5.0,868.0
684,6.0,871.0
685,6.0,873.0
686,6.0,874.0
687,7.0,877.0
688,158.0,11129.0
689,168.0,11524.0
690,186.0,11781.0
691,204.0,12051.0
692,220.0,12297.0
693,243.0,12639.0
694,273.0,12942.0
695,295.0,13244.0
696,319.0,13555.0
697,337.0,13806.0
698,350.0,13945.0
699,368.0,14041.0
700,384.0,14226.0
701,393.0,14336.0
702,410.0,14476.0
703,431.0,14595.0
704,443.0,14671.0
705,452.0,14749.0
706,470.0,14795.0
707,491.0,14873.0
708,510.0,14925.0
709,522.0,15002.0
710,530.0,15071.0
711,536.0,15148.0
712,542.0,15225.0
713,549.0,15274.0
714,569.0,15357.0
715,580.0,15402.0
716,584.0,15452.0
717,589.0,15531.0
718,596.0,15558.0
719,598.0,15597.0
720,600.0,15621.0
721,606.0,15650.0
722,608.0,15684.0
723,609.0,15752.0
724,614.0,15774.0
725,615.0,15833.0
726,618.0,15871.0
727,620.0,15882.0
728,623.0,15961.0
729,624.0,15997.0
730,626.0,16058.0
731,5.0,400.0
732,5.0,443.0
733,5.0,521.0
734,7.0,584.0
735,7.0,641.0
736,8.0,717.0
737,8.0,822.0
738,9.0,926.0
739,10.0,991.0
740,11.0,1058.0
741,11.0,1098.0
742,12.0,1148.0
743,13.0,1197.0
744,13.0,1253.0
745,15.0,1283.0
746,15.0,1340.0
747,18.0,1373.0
748,19.0,1398.0
749,19.0,1436.0
750,20.0,1480.0
751,20.0,1518.0
752,20.0,1548.0
753,21.0,1592.0
754,21.0,1617.0
755,21.0,1645.0
756,22.0,1678.0
757,22.0,1717.0
758,23.0,1766.0
759,24.0,1804.0
760,25.0,1854.0
761,25.0,1894.0
762,25.0,1932.0
763,26.0,1984.0
764,26.0,2060.0
765,28.0,2127.0
766,28.0,2204.0
767,28.0,2279.0
768,31.0,2422.0
769,32.0,2519.0
770,32.0,2589.0
771,33.0,2693.0
772,35.0,2758.0
773,35.0,2879.0
774,1.0,24.0
775,1.0,24.0
776,4.0,28.0
777,4.0,28.0
778,5.0,29.0
779,6.0,33.0
780,7.0,40.0
781,8.0,41.0
782,8.0,42.0
783,8.0,46.0
784,8.0,46.0
785,8.0,47.0
786,8.0,49.0
787,8.0,49.0
788,8.0,53.0
789,9.0,54.0
790,9.0,55.0
791,9.0,55.0
792,9.0,60.0
793,9.0,65.0
794,9.0,65.0
795,11.0,72.0
796,11.0,73.0
797,11.0,78.0
798,11.0,80.0
799,11.0,80.0
800,11.0,80.0
801,11.0,80.0
802,11.0,81.0
803,11.0,81.0
804,11.0,83.0
805,11.0,83.0
806,11.0,83.0
807,11.0,89.0
808,11.0,92.0
809,11.0,92.0
810,11.0,92.0
811,11.0,92.0
812,11.0,92.0
813,11.0,93.0
814,11.0,93.0
815,11.0,94.0
816,11.0,96.0
817,4.0,643.0
818,4.0,672.0
819,4.0,688.0
820,4.0,700.0
821,4.0,756.0
822,5.0,811.0
823,5.0,823.0
824,5.0,887.0
825,6.0,925.0
826,6.0,1040.0
827,6.0,1136.0
828,6.0,1361.0
829,7.0,1528.0
830,7.0,1671.0
831,7.0,1700.0
832,7.0,1740.0
833,7.0,1773.0
834,7.0,1881.0
835,7.0,1907.0
836,7.0,1973.0
837,7.0,2027.0
838,8.0,2217.0
839,8.0,2518.0
840,8.0,2588.0
841,8.0,2647.0
842,8.0,2723.0
843,8.0,2811.0
844,8.0,2921.0
845,8.0,3040.0
846,8.0,3170.0
847,8.0,3284.0
848,8.0,3383.0
849,8.0,3533.0
850,8.0,3720.0
851,8.0,3934.0
852,8.0,4199.0
853,8.0,4444.0
854,8.0,4774.0
855,8.0,4941.0
856,8.0,5236.0
857,9.0,5531.0
858,10.0,5816.0
859,10.0,6198.0
860,6.0,56.0
861,6.0,61.0
862,8.0,70.0
863,9.0,88.0
864,12.0,123.0
865,17.0,164.0
866,20.0,218.0
867,21.0,330.0
868,27.0,424.0
869,30.0,482.0
870,34.0,621.0
871,39.0,803.0
872,46.0,1012.0
873,50.0,1231.0
874,60.0,1572.0
875,75.0,1838.0
876,84.0,2144.0
877,91.0,2456.0
878,101.0,2948.0
879,110.0,3382.0
880,120.0,3772.0
881,127.0,4186.0
882,131.0,4689.0
883,140.0,4998.0
884,145.0,5416.0
885,152.0,5913.0
886,155.0,6462.0
887,163.0,7103.0
888,168.0,7667.0
889,170.0,8238.0
890,175.0,8790.0
891,177.0,9455.0
892,182.0,10143.0
893,183.0,10929.0
894,186.0,11719.0
895,199.0,12425.0
896,206.0,13134.0
897,214.0,13770.0
898,228.0,14657.0
899,239.0,15691.0
900,250.0,16660.0
901,269.0,17822.0
902,283.0,18863.0
903,0.0,46.0
904,-0.0,51.0
905,0.0,52.0
906,1.0,56.0
907,2.0,60.0
908,3.0,63.0
909,3.0,63.0
910,3.0,66.0
911,4.0,67.0
912,4.0,68.0
913,4.0,71.0
914,4.0,72.0
915,4.0,72.0
916,5.0,73.0
917,5.0,75.0
918,5.0,75.0
919,5.0,75.0
920,5.0,75.0
921,5.0,75.0
922,5.0,75.0
923,5.0,75.0
924,6.0,76.0
925,6.0,77.0
926,6.0,79.0
927,6.0,79.0
928,6.0,80.0
929,6.0,80.0
930,7.0,80.0
931,7.0,81.0
932,7.0,81.0
933,7.0,81.0
934,7.0,82.0
935,7.0,82.0
936,7.0,82.0
937,7.0,82.0
938,7.0,82.0
939,7.0,83.0
940,7.0,84.0
941,7.0,84.0
942,7.0,84.0
943,7.0,85.0
944,7.0,85.0
945,7.0,85.0
946,4.0,304.0
947,4.0,351.0
948,5.0,440.0
949,8.0,562.0
950,13.0,700.0
951,13.0,861.0
952,13.0,1066.0
953,16.0,1486.0
954,19.0,1981.0
955,23.0,2226.0
956,26.0,2578.0
957,29.0,2919.0
958,33.0,3281.0
959,36.0,3728.0
960,40.0,4204.0
961,42.0,4779.0
962,45.0,4779.0
963,47.0,4779.0
964,51.0,6264.0
965,55.0,6723.0
966,58.0,7281.0
967,60.0,8022.0
968,63.0,8773.0
969,67.0,9590.0
970,72.0,10463.0
971,75.0,11289.0
972,79.0,12208.0
973,84.0,13181.0
974,89.0,14027.0
975,93.0,14917.0
976,97.0,15828.0
977,99.0,16705.0
978,103.0,17489.0
979,107.0,18350.0
980,112.0,19255.0
981,116.0,20168.0
982,121.0,21101.0
983,126.0,22052.0
984,131.0,22973.0
985,135.0,23906.0
986,142.0,24873.0
987,146.0,25825.0
988,151.0,26772.0
989,1011.0,15348.0
990,1143.0,16770.0
991,1283.0,18431.0
992,1447.0,19691.0
993,1632.0,20814.0
994,2035.0,22194.0
995,2240.0,23403.0
996,2523.0,24983.0
997,3019.0,26667.0
998,3346.0,28018.0
999,3600.0,29647.0
1000,3903.0,30589.0
1001,4157.0,31119.0
1002,4440.0,33573.0
1003,4857.0,34809.0
1004,5163.0,36138.0
1005,5453.0,37183.0
1006,5683.0,38496.0
1007,5828.0,39983.0
1008,5998.0,40956.0
1009,6262.0,41889.0
1010,6490.0,42797.0
1011,6679.0,44293.0
1012,6917.0,45325.0
1013,7094.0,46134.0
1014,7207.0,46687.0
1015,7331.0,47334.0
1016,7501.0,47859.0
1017,7594.0,48519.0
1018,7703.0,49032.0
1019,7765.0,49517.0
1020,7844.0,49906.0
1021,7924.0,50267.0
1022,8016.0,50509.0
1023,8339.0,50781.0
1024,8415.0,51420.0
1025,8521.0,52011.0
1026,8581.0,52596.0
1027,8656.0,53081.0
1028,8707.0,53449.0
1029,8761.0,53779.0
1030,8843.0,53981.0
1031,8903.0,54288.0
1032,0.0,3.0
1033,0.0,4.0
1034,0.0,4.0
1035,0.0,5.0
1036,1.0,7.0
1037,1.0,7.0
1038,1.0,8.0
1039,1.0,9.0
1040,2.0,10.0
1041,2.0,13.0
1042,2.0,14.0
1043,2.0,18.0
1044,2.0,18.0
1045,2.0,18.0
1046,2.0,18.0
1047,2.0,18.0
1048,2.0,18.0
1049,2.0,18.0
1050,2.0,18.0
1051,2.0,18.0
1052,2.0,18.0
1053,2.0,18.0
1054,2.0,18.0
1055,2.0,18.0
1056,2.0,18.0
1057,2.0,18.0
1058,2.0,18.0
1059,2.0,18.0
1060,2.0,18.0
1061,2.0,18.0
1062,2.0,18.0
1063,2.0,18.0
1064,2.0,18.0
1065,2.0,18.0
1066,2.0,18.0
1067,2.0,18.0
1068,2.0,18.0
1069,2.0,18.0
1070,2.0,18.0
1071,2.0,18.0
1072,2.0,18.0
1073,2.0,18.0
1074,2.0,18.0
1075,0.0,13.0
1076,-0.0,16.0
1077,-0.0,16.0
1078,0.0,22.0
1079,1.0,26.0
1080,1.0,26.0
1081,1.0,26.0
1082,1.0,26.0
1083,1.0,35.0
1084,1.0,35.0
1085,1.0,35.0
1086,1.0,35.0
1087,1.0,35.0
1088,1.0,35.0
1089,1.0,35.0
1090,1.0,35.0
1091,1.0,35.0
1092,1.0,35.0
1093,1.0,54.0
1094,1.0,54.0
1095,1.0,54.0
1096,1.0,54.0
1097,1.0,54.0
1098,1.0,54.0
1099,1.0,64.0
1100,1.0,64.0
1101,1.0,64.0
1102,1.0,64.0
1103,1.0,64.0
1104,2.0,90.0
1105,2.0,90.0
1106,2.0,90.0
1107,2.0,96.0
1108,2.0,96.0
1109,2.0,96.0
1110,2.0,140.0
1111,2.0,242.0
1112,2.0,284.0
1113,2.0,319.0
1114,2.0,319.0
1115,2.0,327.0
1116,2.0,327.0
1117,2.0,339.0
1118,-0.0,5.0
1119,-0.0,5.0
1120,0.0,5.0
1121,-0.0,5.0
1122,0.0,5.0
1123,-0.0,5.0
1124,0.0,5.0
1125,-0.0,5.0
1126,0.0,5.0
1127,-0.0,5.0
1128,-0.0,5.0
1129,0.0,5.0
1130,0.0,5.0
1131,0.0,5.0
1132,0.0,5.0
1133,0.0,5.0
1134,0.0,5.0
1135,0.0,5.0
1136,0.0,5.0
1137,0.0,6.0
1138,-0.0,6.0
1139,0.0,7.0
1140,-0.0,7.0
1141,0.0,7.0
1142,-0.0,7.0
1143,0.0,7.0
1144,0.0,7.0
1145,-0.0,7.0
1146,0.0,7.0
1147,-0.0,7.0
1148,0.0,7.0
1149,-0.0,7.0
1150,0.0,7.0
1151,-0.0,7.0
1152,0.0,7.0
1153,-0.0,7.0
1154,0.0,7.0
1155,0.0,7.0
1156,-0.0,7.0
1157,0.0,9.0
1158,0.0,11.0
1159,0.0,15.0
1160,0.0,20.0
1161,8.0,123.0
1162,9.0,132.0
1163,10.0,139.0
1164,10.0,157.0
1165,11.0,183.0
1166,14.0,194.0
1167,15.0,210.0
1168,18.0,264.0
1169,19.0,268.0
1170,20.0,275.0
1171,24.0,300.0
1172,27.0,330.0
1173,28.0,354.0
1174,28.0,397.0
1175,29.0,441.0
1176,31.0,465.0
1177,31.0,493.0
1178,32.0,520.0
1179,33.0,564.0
1180,34.0,598.0
1181,37.0,609.0
1182,43.0,703.0
1183,44.0,807.0
1184,46.0,866.0
1185,50.0,950.0
1186,53.0,1014.0
1187,55.0,1053.0
1188,59.0,1110.0
1189,62.0,1167.0
1190,66.0,1229.0
1191,71.0,1470.0
1192,76.0,1594.0
1193,82.0,1681.0
1194,86.0,1802.0
1195,91.0,1886.0
1196,102.0,2081.0
1197,106.0,2266.0
1198,114.0,2437.0
1199,118.0,2556.0
1200,122.0,2831.0
1201,128.0,2964.0
1202,142.0,3148.0
1203,152.0,3372.0
1204,16.0,533.0
1205,17.0,579.0
1206,21.0,624.0
1207,23.0,654.0
1208,29.0,674.0
1209,33.0,764.0
1210,34.0,804.0
1211,35.0,858.0
1212,36.0,901.0
1213,37.0,946.0
1214,39.0,1009.0
1215,39.0,1037.0
1216,40.0,1083.0
1217,41.0,1110.0
1218,43.0,1167.0
1219,46.0,1214.0
1220,47.0,1268.0
1221,48.0,1285.0
1222,49.0,1309.0
1223,51.0,1342.0
1224,53.0,1368.0
1225,54.0,1413.0
1226,55.0,1421.0
1227,57.0,1486.0
1228,59.0,1516.0
1229,60.0,1565.0
1230,63.0,1585.0
1231,65.0,1677.0
1232,69.0,1757.0
1233,70.0,1781.0
1234,72.0,1839.0
1235,77.0,1857.0
1236,78.0,1926.0
1237,79.0,1946.0
1238,86.0,1987.0
1239,90.0,2027.0
1240,98.0,2070.0
1241,102.0,2090.0
1242,107.0,2117.0
1243,113.0,2141.0
1244,117.0,2158.0
1245,120.0,2181.0
1246,122.0,2218.0
1247,1.0,4.0
1248,1.0,4.0
1249,1.0,4.0
1250,1.0,6.0
1251,1.0,6.0
1252,1.0,6.0
1253,1.0,6.0
1254,1.0,13.0
1255,1.0,13.0
1256,1.0,13.0
1257,1.0,13.0
1258,1.0,13.0
1259,1.0,13.0
1260,1.0,13.0
1261,1.0,15.0
1262,1.0,15.0
1263,1.0,15.0
1264,1.0,20.0
1265,1.0,20.0
1266,1.0,20.0
1267,1.0,22.0
1268,1.0,22.0
1269,1.0,22.0
1270,1.0,22.0
1271,1.0,22.0
1272,1.0,22.0
1273,1.0,23.0
1274,1.0,23.0
1275,1.0,23.0
1276,1.0,23.0
1277,1.0,23.0
1278,1.0,23.0
1279,1.0,23.0
1280,1.0,23.0
1281,1.0,23.0
1282,1.0,23.0
1283,1.0,23.0
1284,1.0,23.0
1285,1.0,23.0
1286,1.0,24.0
1287,1.0,24.0
1288,1.0,24.0
1289,1.0,24.0
1290,324.0,8044.0
1291,359.0,9056.0
1292,445.0,10360.0
1293,486.0,11130.0
1294,564.0,12161.0
1295,686.0,14034.0
1296,819.0,16170.0
1297,950.0,18092.0
1298,1057.0,19638.0
1299,1124.0,20727.0
1300,1223.0,22192.0
1301,1328.0,23430.0
1302,1532.0,25262.0
1303,1736.0,28320.0
1304,1924.0,30425.0
1305,2141.0,33682.0
1306,2354.0,36658.0
1307,2462.0,38654.0
1308,2587.0,40743.0
1309,2741.0,43079.0
1310,2906.0,45757.0
1311,3331.0,50036.0
1312,3704.0,54043.0
